Name,Style,Family style,Brewery,Alc,IBU,Rating
Chance,IPA - Imperial / Double,IPA ,Willibald Farm Brewery,8.4,,4.11
Chasing Dreams,IPA - Imperial / Double New England / Hazy,IPA ,Folkingebrew,8.5,,4.06
Chasing Trees: Strain 17,IPA - New England / Hazy,IPA ,DankHouse Brewing Company,7,,3.98
Cherry Sour à La Mode,Sour - Fruited Berliner Weisse,Sour ,Untitled Art,6,,4.28
Cherry White,Mead - Other,Mead ,Superstition Meadery,13.5,,4.33
Chestnut,Wild Ale - American,Wild Ale,Sour Cellars,7,,3.85
Christmas Punch Bowl,Sour - Smoothie / Pastry,Sour ,Ology Brewing Co,8,,3.94
Cider / Rode Druif 21/11,Cider - Other Fruit,Cider ,Symbiose Brewing / Blending,6.5,,3.95
Cider Blend,Cider - Dry,Cider ,Saules Cidery,6.5,,3.45
Cider Puur (2022),Cider - Dry,Cider ,Pellicle Vergistingen,7,,3.95
Cider State of Mind,Cider - Dry,Cider ,Pomologik,6.9,,3.63
Ciderstorm,Cider - Other Fruit,Cider ,DUST Blending,6.9,,3.88
Citra A,IPA - American,IPA ,Ebeltoft Gårdbryggeri,6.5,,3.62
Citra B,IPA - American,IPA ,Ebeltoft Gårdbryggeri,6.5,,3.62
Citranó,Pale Ale - American,Pale ,Birra MC - 77,6,,3.89
Citrus Base - DDH IPA,IPA - American,IPA ,Cervesa Espiga,5.5,45,3.88
Classic,Lager - Dortmunder / Export,Lager ,Baeren Brauerei,6,22,3.5
Cloud 9 - Double Barrel,Stout - Imperial / Double,Stout ,Salikatt,14,,4.29
Cloud City,IPA - New England / Hazy,IPA ,Narrow Gauge Brewing Company,7,50,4.12
Coco Loco,Stout - Other,Stout ,Brasserie de la Sambre,7.1,30,3.85
Cognac Barrel Aged Imperial Stout,Stout - Imperial / Double,Stout ,?rpus Brewing Co.,13,,4.22
Cold Hawaii,IPA - Imperial / Double,IPA ,CLAG Brewing Company,8.5,,4.33
Coloring Outside the Lines,Wild Ale - American,Wild Ale,Odd Breed Wild Ales,7.5,45,3.94
Colosseum of Life,Wild Ale - Other,Wild Ale,Métaphore,5.6,,4.11
Come Together,Cider - Dry,Cider ,Pomologik,6.9,,3.7
Comfort Zone,IPA - Imperial / Double New England / Hazy,IPA ,Salikatt,8,,4.07
Confidently Incorrect,IPA - Imperial / Double New England / Hazy,IPA ,Resident Culture Brewing Co.,8,,3.98
Conquistadors,IPA - Other,IPA ,Vinohradský pivovar,5,45,3.59
Contrition,Stout - Imperial / Double,Stout ,Lua Brewing,14.3,,4.42
Cool-ship Vienna Lager (2023),Lager - Vienna,Lager ,Baeren Brauerei,5.5,,3.38
Cool-ship Vienna Lager (2023),Lager - Vienna,Lager ,Baeren Brauerei,5.5,,3.38
Cool-ship Vienna Lager (2023),Lager - Vienna,Lager ,Baeren Brauerei,5.5,,3.38
Cool-ship Vienna Lager (2023),Lager - Vienna,Lager ,Baeren Brauerei,5.5,,3.38
Coolship: Drop Ceiling,Wild Ale - American,Wild Ale,Narrow Gauge Brewing Company,6.3,,4
Copacabango,Mead - Other,Mead ,Superstition Meadery,13.5,,4.08
Corsair,IPA - American,IPA ,Amager Bryghus,7,70,3.52
Crazy Rich Lupulins,IPA - Imperial / Double New England / Hazy,IPA ,Carbon Brews,8.2,23,3.85
Crimes Against Brewing: Carrot And Walnut Cake,Stout - Imperial / Double Pastry,Stout ,Neon Raptor Brewing Co.,10,,3.82
Crispy As Helles,Lager - Helles,Lager ,CLAG Brewing Company,4.9,,3.89
Crispy Boi,Pilsner - Other,Pilsner ,Birra MC - 77,5,,3.54
Crooklyn In the House,IPA - Imperial / Double New England / Hazy,IPA ,DankHouse Brewing Company,8,,4.13
Crop Colors: Pink Dawn,Wild Ale - American,Wild Ale,Creature Comforts Brewing Co.,6,,3.79
Crop Colors: Umbria Red,Wild Ale - American,Wild Ale,Creature Comforts Brewing Co.,7,,3.81
Cryo Bears,IPA - Imperial / Double,IPA ,3 Sons Brewing Co.,8.5,,4
Cubed Pepper Infused Lambic,Lambic - Traditional,Lambic ,Oud Beersel,6.8,,3.66
Cuvée (2022),Wild Ale - Other,Wild Ale,Tommie Sjef,7.4,,4.23
Daisy,Wild Ale - American,Wild Ale,Sour Cellars,6.1,,3.96
Damascene,Wild Ale - Other,Wild Ale,Crossover Blendery,6.5,,3.93
Dark Rituals (2021),Strong Ale - American,Strong Ale ,Bottle Logic Brewing,13.13,40,4.36
Dark Soul - Rum & Tonka Bean Barrel,Stout - Imperial / Double,Stout ,Carbon Brews,10.5,68,3.74
Darkest Hour,Stout - Imperial / Double,Stout ,Folkingebrew,11,,3.96
Darth Czech,Lager - Dark,Lager ,Batch Craft Beer & Kolaches,4.5,,3.44
Dat Cookie Dough Though,Stout - Imperial / Double,Stout ,Recycled Brewing Company,9.5,,3.84
Death & Taxes,Lager - Dark,Lager ,Moonlight Brewing Company,5.3,,3.85
Death Nectar,Stout - Imperial / Double,Stout ,3 Sons Brewing Co.,14.4,,4.32
Deep Fried,IPA - New England / Hazy,IPA ,ÅBEN,6,,3.7
Delia,Pilsner - Other,Pilsner ,Birrificio Italiano,4.3,,3.53
Deluxe,IPA - Imperial / Double New England / Hazy,IPA ,Dugges Bryggeri,8,,3.8
Demonia Barrel Blend #1,Stout - Imperial / Double,Stout ,Seven Island Brewery,12.1,,3.82
Deos (Beast Mode Series),Stout - Imperial / Double Coffee,Stout ,Seven Island Brewery,11.5,45,4.03
Descent,Stout - Russian Imperial,Stout ,Halfway Crooks Beer,13,,4.12
Destination: Death Or Better Days,Wild Ale - American,Wild Ale,Dekkera Brewing & Blending,6,,3.84
Destroyer Cognac,Barleywine - Other,Barleywine ,Lua Brewing,15,,4.36
Det Er Røjk! 2021,Mead - Cyser,Mead ,The Attic Meadery,15,,3.84
Dim Lights,Smoked Beer,Smoked ,Moonlight Brewing Company,6.3,,3.73
Dionysus,Grape Ale - Other,Grape ,Dois Corvos,7,,3.61
DIPA DDH - Citra / Mosaic,IPA - Imperial / Double New England / Hazy,IPA ,Popihn,8,,4.03
Does Anyone Have Any Questions?,Hard Seltzer,Hard Seltzer,Resident Culture Brewing Co.,5,,3.4
Domestic,Lager - American Light,Lager ,Outer Range Brewing Co.,4.2,,3.94
Domesticated Saison,Wild Ale - American,Wild Ale,Odd Breed Wild Ales,6.8,30,3.64
Doom Sauce,Stout - Imperial / Double Pastry,Stout ,WarPigs Brewpub,10,,4.1
Dopealicious,IPA - New England / Hazy,IPA ,3 Sons Brewing Co.,7.2,70,4.03
Doppelhawk,Schwarzbier,Schwarzbier,Enegren Brewing Company,8,22,3.93
Double Agent,IPA - Imperial / Double New England / Hazy,IPA ,Ten Hands Brewing,8,45,3.77
Double Barrel Bang This,Stout - Imperial / Double Pastry,Stout ,CLAG Brewing Company,14,,4.63
Double Barrel Constellar,Barleywine - English,Barleywine ,Pleasanti Street,15,,4.35
Double Barry,Farmhouse Ale - Saison,Farmhouse ,DUST Blending,6.2,,3.92
Double Bodycheck,IPA - Imperial / Double New England / Hazy,IPA ,Sudden Death Brewing Co.,8.5,,4.14
Double Dry Hopped (DDH) Sparkle Motion,Pale Ale - New England / Hazy,Pale ,Narrow Gauge Brewing Company,6,30,4.11
